Job_Number,Jobs_Gross_Margin_Percentage,Jobs_Gross_Margin,Labor_Pay,Labor_Burden,Material_Costs,PO_Costs,Labor,Equipment_Costs,Jobs_Total,Materials__Equip__POs_As_percent_of_Sales,Labor_Burden_as_percent_of_Sales,Labor_Pay_as_percent_of_Sales,Sold_Hours,Total_Hours_Worked,Total_Technician_Paid_Time,NonBillable_Hours,Jobs_Total_Costs,Is_Lead,Opportunity,Warranty,Recall,Converted,Jobs_Subtotal,Pricebook_Price,Income,Estimates,Jobs_Estimate_Sales_Subtotal,Jobs_Estimate_Sales_Installed,Materials__Equipment__PO_Costs,Lead Generated From Source
63974864,0.3458,264.26,212.95,252.06,4.13,30.75,764.15,0,764.15,4.56,32.99,27.87,2,4.42,5.07,2.42,499.89,0,1,0,0,1,764.15,1217.61,764.15,1,764.15,764.15,34.88,Marketed Lead
64024261,0,-206.03,86.18,119.85,0,0,0,0,0,0,0,0,2,2.1,2.25,0.1,206.03,0,0,0,1,0,0,0,0,0,0,0,0,Marketed Lead
64029014,0,-577.56,184.93,168.36,4.21,220.06,0,0,0,12.83,9.63,10.58,0,2.95,4.4,2.95,577.56,0,0,0,0,0,0,0,0,3,1747.55,0,224.27,Marketed Lead
64032726,0.9763,5598.86,75.66,24.83,35.6,0,5734.95,0,5734.95,0.62,0.43,1.32,9.25,1.2,1.8,-8.05,136.09,0,1,0,0,1,5734.95,9119.08,5734.95,6,5734.95,5734.95,35.6,Marketed Lead
62088152,0,-120.31,69.9,50.41,0,0,0,0,0,0,0,0,2,0.88,1.22,-1.12,120.31,0,1,0,0,0,0,0,0,3,0,0,0,Marketed Lead
62090860,0.3998,164.8,118.09,129.36,0,0,611.25,0,611.25,0,21.16,19.32,0.75,2.27,3.08,1.52,247.45,0,1,0,0,1,611.25,655.57,412.25,2,611.25,611.25,0,Marketed Lead
62103364,0.8307,443.58,42.13,28.54,19.76,0,534,0,534,3.7,5.34,7.89,0.75,0.5,0.97,-0.25,90.42,0,1,0,0,1,534,754.57,534,2,534,534,19.76,Marketed Lead
62106447,0.6611,191.07,46.93,42.8,8.2,0,339,0,289,2.84,14.81,16.24,0.5,0.75,1.12,0.25,97.93,0,1,0,0,1,289,458.12,289,3,289,289,8.2,Marketed Lead
62110580,0.004,0.56,70.75,68.94,0,0,240.25,0,240.25,0,28.69,29.45,0.25,1.17,1.68,0.92,139.69,0,1,0,0,1,240.25,223.01,140.25,4,240.25,240.25,0,Marketed Lead
62220484,0.2777,214.62,224.06,276.79,57.33,0,1021.8,0,971.8,5.61,27.09,21.93,1.75,4.85,5.85,3.1,558.18,0,1,0,0,1,971.8,1477.64,772.8,4,1021.8,1021.8,57.33,Marketed Lead
62846030,-0.0352,-5.28,125.28,30,0,0,289,0,289,0,10.38,43.35,0.75,0.5,1.52,-0.25,155.28,0,1,0,0,1,289,150,150,3,289,289,0,Marketed Lead
62846216,0.6186,299.23,130.3,54.22,0,0,483.75,0,483.75,0,11.21,26.94,1.25,0.95,1.55,-0.3,184.52,0,1,0,0,1,483.75,599.06,483.75,1,483.75,483.75,0,Marketed Lead
62853318,0.6432,1962.83,307.1,398.82,118.48,264.42,3051.65,0,3051.65,12.55,13.07,10.06,7.25,6.73,8.05,-0.52,1088.82,0,1,0,0,1,3051.65,5126.07,3051.65,1,3051.65,3051.65,382.9,Marketed Lead
62864907,0.7085,869.09,136.59,146,74.97,0,1475.65,0,1475.65,5.08,9.89,9.26,3.25,2.43,3.25,-0.82,357.56,0,1,0,0,1,1475.65,1932,1226.65,3,1475.65,1475.65,74.97,Marketed Lead
62865918,0.4369,325.04,169.53,235.38,14.05,0,744,0,744,1.89,31.64,22.79,2.5,3.98,4.03,1,418.96,0,1,0,0,1,744,1011.05,744,2,744,744,14.05,Marketed Lead
64069251,0,-45.7,23.82,21.88,0,0,0,0,0,0,0,0,2,0.38,0.57,-1.62,45.7,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
64075776,0.137,29.32,95.27,89.41,0,0,214,0,214,0,41.78,44.52,0.25,1.57,2.27,1.32,184.68,0,1,0,0,1,214,322.01,214,1,214,0,0,Marketed Lead
64089503,0,-215.2,99.47,107.48,8.25,0,0,0,0,0,0,0,2,1.88,2.37,-0.12,215.2,0,0,1,0,0,0,0,0,2,0,0,8.25,Marketed Lead
62223092,0.5312,162.72,58.14,58.02,27.45,0,406.33,0,406.33,9.3,19.66,19.7,2,1.02,1.38,-0.98,143.61,0,1,0,0,1,406.33,426.89,306.33,2,295.08,295.08,27.45,Marketed Lead
62228186,0,-9.85,0,9.85,0,0,0,0,0,0,0,0,0,0.17,0,0,9.85,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
62229633,0,-64.02,44.05,19.97,0,0,0,0,0,0,0,0,2,0.35,1.15,-1.65,64.02,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
62229969,0.468,213.7,126.39,68.48,48.07,0,531.65,0,456.65,10.53,15,27.68,1.5,1.2,2.12,-0.3,242.95,0,1,0,0,1,456.65,757.13,456.65,4,456.65,456.65,48.07,Marketed Lead
64103509,0,-83.87,55.33,28.54,0,0,0,0,0,0,0,0,0.5,0.5,1.27,0,83.87,0,1,0,0,0,0,0,0,3,0,0,0,Marketed Lead
64117515,0.3899,560.13,233.23,195.94,0,447.2,1436.5,0,1436.5,0,0,0,2,3.43,5.97,1.43,876.37,0,1,0,0,1,1436.5,2281.9,1436.5,2,0,0,447.2,Marketed Lead
64119764,0.6609,298.75,77.76,66.58,8.91,0,452,0,452,1.97,14.73,17.2,1.5,1.17,1.85,-0.33,153.25,0,1,0,0,1,452,559.34,452,3,452,452,8.91,Marketed Lead
64120657,0.8177,268.63,49.8,7.21,2.86,0,328.5,0,328.5,0.87,2.2,15.16,0.5,1.05,1.38,0.55,59.87,0,1,0,0,1,328.5,475.06,328.5,2,328.5,328.5,2.86,Marketed Lead
64121927,-0.0191,-4.19,111.36,112.83,0,0,270,0,220,0,41.79,41.24,1,1.9,2.57,0.9,224.19,0,1,0,0,1,220,311,220,2,270,270,0,Marketed Lead
62866761,0,-118.57,56.74,61.83,0,0,0,0,0,0,0,0,2,1.08,1.35,-0.92,118.57,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
62868465,0.7508,2119.01,210.85,242.55,167.03,83,2922.43,0,2922.43,8.56,8.3,7.21,2.5,4.25,5.02,1.75,703.42,0,1,0,0,1,2922.43,770.95,2822.43,4,2922.43,2922.43,250.03,Marketed Lead
62873038,-0.0393,-14.85,108.08,128.25,0,156.77,577.25,0,577.25,0,0,0,3,2.12,2.75,-0.88,393.1,0,1,0,0,1,577.25,602.75,378.25,0,0,0,156.77,Marketed Lead
62875610,0,-61.48,43.41,18.07,0,0,0,0,0,0,0,0,2,0.32,1.13,-1.68,61.48,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
63066052,0.2413,4399.59,616.8,566.9,542.45,12108.26,18234,0,18234,69.38,3.11,3.38,8,17.93,21.73,9.93,13834.41,0,1,0,0,1,18234,24701.8,18234,2,18234,18234,12650.71,Marketed Lead
63113162,-0.8153,-137.78,149.21,157.57,0,0,169,0,169,0,93.24,88.29,0.25,2.67,3.55,2.42,306.78,0,1,0,0,1,169,260,169,1,169,0,0,Marketed Lead
63142235,-1.1103,-46.08,47.63,39.95,0,0,0,0,0,0,0,0,0,0.7,1.13,0.7,87.58,0,0,0,0,0,0,0,41.5,0,0,0,0,Marketed Lead
62352712,0.0114,0.56,29.42,19.02,0,0,49,0,49,0,0,0,0,0.33,0.7,0.33,48.44,0,1,0,0,0,49,99,49,2,0,0,0,Marketed Lead
62358353,0,-43.44,30.12,13.32,0,0,0,0,0,0,0,0,0,0.23,0.72,0.23,43.44,0,0,0,0,0,0,0,0,0,0,0,0,Marketed Lead
62366916,0,-11.82,0,11.82,0,0,75,0,75,0,0,0,0,0.2,0,0,11.82,0,1,0,0,1,75,0,0,0,0,0,0,Marketed Lead
62406217,0,-109.9,75.66,34.24,0,0,0,0,0,0,0,0,0.5,0.6,1.2,0.1,109.9,0,0,0,0,0,0,0,0,2,0,0,0,Marketed Lead
62408014,0.5364,667.08,203.15,243.5,113.32,16.65,1293.7,0,1243.7,14.04,26.31,21.95,4.25,4.27,4.83,0.02,576.62,0,1,0,0,1,1243.7,2167.45,1243.7,3,925.65,925.65,129.97,Marketed Lead
62414037,0.4118,164.52,114.18,120.8,0,0,499.5,0,499.5,0,11.86,11.21,1,2.12,2.72,1.12,234.98,0,1,0,0,1,499.5,636.39,399.5,2,1018.5,499.5,0,Marketed Lead
62417220,0.4703,256.24,102.27,114.14,72.2,0,544.85,0,544.85,13.25,20.95,18.77,2,2,2.43,0,288.61,0,1,0,0,1,544.85,870.47,544.85,3,544.85,544.85,72.2,Marketed Lead
62422343,0,-106.63,44.05,38.03,24.56,0,249,0,249,12.34,19.11,22.14,0,0.75,1.15,0.75,106.63,0,1,0,0,1,249,0,0,7,199,0,24.56,Marketed Lead
62429020,0.8255,1355.43,107.88,47.93,130.79,0,1642.03,0,1642.03,7.97,2.92,6.57,5.75,2.32,2.57,-3.43,286.6,0,1,0,0,1,1642.03,3504.76,1642.03,2,1642.03,1642.03,130.79,Marketed Lead
63155017,-3.3693,-139.83,73.41,73.52,34.4,0,0,0,0,0,0,0,0,1.45,1.92,1.45,181.33,0,0,0,0,0,0,0,41.5,4,0,0,34.4,Marketed Lead
63177156,0.2578,30.94,46.26,42.8,0,0,120,0,120,0,0,0,0.25,0.75,1.2,0.5,89.06,0,1,0,0,0,120,161,120,0,0,0,0,Marketed Lead
63183715,0.4158,90.63,81.71,45.66,0,0,218,0,218,0,20.94,37.48,0.25,0.8,2.13,0.55,127.37,0,1,0,0,1,218,327.39,218,2,218,218,0,Marketed Lead
63241189,-2.4033,-117.76,84.76,82,0,0,49,0,49,0,0,0,0,1.37,2.02,1.37,166.76,0,0,0,0,0,49,99,49,1,0,0,0,Marketed Lead
63281240,0,-52.64,33.62,19.02,0,0,0,0,0,0,0,0,2,0.33,0.8,-1.67,52.64,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
62430306,0.2695,544.13,322.37,402.34,22,727.91,2157.75,0,2157.75,50.31,26.99,21.63,5,7.05,8.42,1.92,1474.62,0,1,0,0,1,2157.75,3271.43,2018.75,2,1490.5,1490.5,749.91,Marketed Lead
62442692,-1.4088,-125.39,105.07,109.32,0,0,89,0,89,0,122.83,118.06,1,1.85,2.45,0.85,214.39,0,1,0,0,1,89,89,89,2,89,89,0,Marketed Lead
62481757,0.2901,75.5,93.16,91.59,0,0,260.25,0,260.25,0,35.19,35.8,0.5,1.55,2.22,1.05,184.75,0,1,0,0,1,260.25,384.01,260.25,3,260.25,120,0,Marketed Lead
62484722,0,-40.22,22.49,17.73,0,0,0,0,0,0,0,0,0,0.3,0.52,0.3,40.22,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
62485576,0.4972,269.22,123.29,143.63,5.31,0,541.45,0,541.45,0.98,26.53,22.77,1,2.52,2.93,1.52,272.23,0,1,0,0,1,541.45,861.08,541.45,3,541.45,541.45,5.31,Marketed Lead
63298756,0.7918,504.86,36.42,42.8,53.5,0,662.58,0,637.58,8.39,6.71,5.71,1.5,0.75,0.87,-0.75,132.72,0,1,0,0,1,637.58,1058.5,637.58,1,637.58,637.58,53.5,Marketed Lead
63349060,0.2792,275.02,209.69,234.94,265.35,0,1035,0,985,26.94,23.85,21.29,1.5,4.12,4.62,2.62,709.98,0,1,0,0,1,985,1434.71,985,1,985,985,265.35,Marketed Lead
63390154,0.317,173.8,137.87,185.48,51.11,0,548.25,0,548.25,9.32,33.83,25.15,2,3.25,3.6,1.25,374.45,0,1,0,0,1,548.25,875.85,548.25,1,548.25,548.25,51.11,Marketed Lead
63425493,0.4981,134.49,105.07,30.44,0,0,270,0,270,0,11.27,38.91,1,0.53,1.25,-0.47,135.51,0,1,0,0,1,270,311,270,1,270,270,0,Marketed Lead
64122238,0,-1186.32,559.05,564.04,63.23,0,0,0,0,0,0,0,2,9.88,11.3,7.88,1186.32,0,1,0,0,0,0,0,0,1,0,0,63.23,Marketed Lead
64364632,-0.1453,-4.82,25.92,12.07,0,0,0,0,0,0,0,0,0,0.58,0.62,0.58,37.99,0,0,0,0,0,0,0,33.17,0,0,0,0,Marketed Lead
64369641,0.3865,46.38,55.34,18.28,0,0,120,0,120,0,15.23,46.12,2.25,0.88,1.32,-1.37,73.62,0,0,1,0,0,120,161,120,2,120,120,0,Marketed Lead
64370941,0,-180.12,100.22,79.9,0,0,0,0,0,0,0,0,0,1.4,2.62,1.4,180.12,0,0,0,0,0,0,0,0,0,0,0,0,Marketed Lead
64388332,0.158,100.61,210.15,261.57,0,64.32,636.65,0,636.65,10.1,41.09,33.01,1.5,4.58,5,3.08,536.04,0,1,0,0,1,636.65,1013.78,636.65,1,636.65,636.65,64.32,Marketed Lead
64388366,0.8714,329.62,33.62,13.45,1.56,0,378.25,0,378.25,0.41,3.56,8.89,1,0.65,0.8,-0.35,48.63,0,1,0,0,1,378.25,602.75,378.25,2,378.25,378.25,1.56,Marketed Lead
64388866,0,-276.89,128.89,148,0,0,0,0,0,0,0,0,2,2.47,3.07,0.47,276.89,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
64395218,0,-98.44,58.73,39.71,0,0,199,0,199,0,19.96,29.51,0,0.78,1.53,0.78,98.44,0,0,0,0,0,199,0,0,4,199,199,0,Marketed Lead
64408011,0.4957,242.26,117.13,129.36,0,0,488.75,0,488.75,0,26.47,23.97,1.25,2.27,2.83,1.02,246.49,0,1,0,0,1,488.75,776.66,488.75,3,488.75,488.75,0,Marketed Lead
63427015,0.5819,504.48,165.32,157,40.2,0,867,0,867,4.64,18.11,19.07,1.5,2.62,3.93,1.12,362.52,0,1,0,0,1,867,1208.16,867,3,867,867,40.2,Marketed Lead
63430734,0,-485.23,204.28,226.7,0,54.25,0,0,0,0,0,0,2,3.93,6.55,1.93,485.23,0,1,0,0,0,0,0,0,1,0,0,54.25,Marketed Lead
63431652,-0.7014,-947.41,720.41,757.13,-745.71,1566.23,1350.65,0,1350.65,60.75,56.06,53.34,4.75,13.27,16.13,8.52,2298.06,0,1,1,0,1,1350.65,2149,1350.65,3,1350.65,1350.65,820.52,Marketed Lead
63434310,0.3169,120.95,108.51,152.19,0,0,580.65,0,606.41,0,26.21,18.69,1,2.67,2.83,1.67,260.7,0,1,0,0,1,580.65,530.68,381.65,2,580.65,580.65,0,Marketed Lead
63434335,0.496,263.52,49.74,127.46,90.53,0,531.25,0,531.25,17.04,23.99,9.36,1.25,2.23,2.47,-0.07,267.73,0,1,0,0,1,531.25,845.94,531.25,3,531.25,531.25,90.53,Marketed Lead
62504135,0.3588,335.38,108.08,129.26,361.93,0,984.65,0,934.65,36.76,13.13,10.98,1,2.13,2.75,1.13,599.27,0,1,0,0,1,934.65,1281.54,934.65,3,984.65,984.65,361.93,Marketed Lead
62524105,0.683,146.17,9.81,58.02,0,0,214,0,214,0,27.11,4.58,0.25,1.02,0.23,-0.02,67.83,0,1,0,0,1,214,322.01,214,2,214,214,0,Marketed Lead
62526020,0.4891,180.97,91.06,97.97,0,0,370,0,370,0,0,0,0.5,1.72,2.17,1.22,189.03,0,1,0,0,1,370,532.91,370,3,0,0,0,Marketed Lead
62593997,0.5794,272.91,95.97,93.21,8.91,0,471,0,471,1.89,19.79,20.38,1,1.63,2.28,0.63,198.09,0,1,0,0,1,471,669.34,471,3,471,471,8.91,Marketed Lead
62601796,0.4663,247.71,93.17,89.41,100.96,0,531.25,0,531.25,19,16.83,17.54,1.25,1.57,2.22,0.32,283.54,0,1,0,0,1,531.25,845.94,531.25,3,531.25,531.25,100.96,Marketed Lead
63435596,0,-65.98,0,65.98,0,0,0,0,0,0,0,0,2,1.12,1.58,-0.88,65.98,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
63527748,0.8121,458.43,32.4,6.18,67.47,0,664.49,0,564.49,11.95,1.1,5.74,1.25,0.9,0.9,-0.35,106.06,0,1,0,0,1,564.49,1127.84,564.49,2,564.49,564.49,67.47,Marketed Lead
63531081,-1.253,-58.05,43.41,45.63,15.34,0,0,0,0,0,0,0,0,0.9,1.13,0.9,104.38,0,0,0,0,0,0,0,46.33,0,0,0,15.34,Marketed Lead
63532485,0.7099,336.51,66.55,58.02,12.92,0,524,0,474,2.73,12.24,14.04,1.25,1.02,1.58,-0.23,137.49,0,1,0,0,1,474,836.3,474,3,474,474,12.92,Marketed Lead
63571568,0.1637,48.88,119.87,127.24,2.51,0,746.5,0,696.5,0.34,17.04,16.06,0.75,2.1,3.05,1.35,249.62,0,1,0,0,1,696.5,655.57,298.5,4,746.5,746.5,2.51,Marketed Lead
62607819,0,-164.9,100.22,64.68,0,0,0,0,0,0,0,0,2,1.13,1.8,-0.87,164.9,0,0,1,0,0,0,0,0,1,0,0,0,Marketed Lead
62711371,0.5789,275.04,88.97,72.29,38.85,0,475.15,0,475.15,8.18,15.21,18.72,1,1.27,2.12,0.27,200.11,0,1,0,0,1,475.15,756.13,475.15,1,475.15,475.15,38.85,Marketed Lead
62717555,0.7478,284.76,0,94.54,1.5,0,380.8,0,380.8,0.39,24.83,0,0.75,1.6,2.05,0.85,96.04,0,1,0,0,1,380.8,602.78,380.8,1,380.8,380.8,1.5,Marketed Lead
62737886,0.7058,266.99,80.56,27.59,3.12,0,627.25,0,627.25,0.5,4.4,12.84,1,1.33,1.92,0.33,111.26,0,1,0,0,1,627.25,602.75,378.25,4,627.25,627.25,3.12,Marketed Lead
62783685,0.3839,153.16,54.63,46.61,144.6,0,399,0,399,36.24,11.68,13.69,0.5,0.82,1.3,0.32,245.84,0,1,0,0,1,399,507.01,399,3,399,399,144.6,Marketed Lead
62804841,0,-57.8,37.83,19.97,0,0,0,0,0,0,0,0,0,0.35,0.9,0.35,57.8,0,1,0,0,0,0,0,0,4,0,0,0,Marketed Lead
62840016,0.7444,2787.05,269.7,121.38,389.44,176.43,3744,0,3744,15.11,3.24,7.2,4,5.87,6.42,1.87,956.95,0,1,0,0,1,3744,5183.07,3744,3,3744,3744,565.87,Marketed Lead
62850394,0.6305,224.61,105.96,25.68,0,0,356.25,0,356.25,0,0,0,1,0.45,1.38,-0.55,131.64,0,1,0,0,1,356.25,427.51,356.25,0,0,0,0,Marketed Lead
64420754,0.6332,1263.17,273.2,314.84,26.89,116.75,2094.85,0,2094.85,6.86,15.03,13.04,5.25,5.52,6.5,0.27,731.68,0,1,0,0,1,2094.85,3152.32,1994.85,2,2094.85,2094.85,143.64,Marketed Lead
64431348,0.4417,1207.71,685.44,657.26,-57.23,241.27,2933.45,0,2933.45,6.27,22.41,23.37,3,11.52,14.72,8.52,1526.74,0,1,0,0,1,2933.45,1875.52,2734.45,2,2933.45,0,184.04,Marketed Lead
64438129,0,-166.25,94.76,71.49,0,0,0,0,0,0,0,0,2,1.72,2.63,-0.28,166.25,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
64453612,0.73,204.05,65.4,8.7,1.35,0,279.5,0,279.5,0.48,3.11,23.4,0.5,1.27,1.82,0.77,75.45,0,1,0,0,1,279.5,329.85,279.5,3,279.5,279.5,1.35,Marketed Lead
64458481,0.3715,52.1,49.15,39,0,0,140.25,0,140.25,0,27.81,35.04,0.25,0.68,1.28,0.43,88.15,0,1,0,0,0,140.25,223.01,140.25,1,140.25,140.25,0,Marketed Lead
63573190,0.3096,185.19,204.55,197.66,10.76,0,598.15,0,598.15,2.1,38.52,39.86,3.25,3.43,4.87,0.18,412.96,0,1,0,0,1,598.15,903.95,598.15,2,513.15,513.15,10.76,Marketed Lead
63582532,0.7116,390.21,61.64,65,31.49,0,548.34,0,548.34,4.9,10.12,9.6,2,1.08,1.47,-0.92,158.13,0,1,0,0,1,548.34,1322.5,548.34,1,642.28,321.14,31.49,Marketed Lead
63614020,-1.2829,-62.86,59.55,52.31,0,0,298,0,298,0,17.56,19.98,0,0.92,1.42,0.92,111.86,0,1,0,0,1,298,99,49,3,298,298,0,Marketed Lead
63671494,0.6793,256.94,62.34,58.97,0,0,378.25,0,378.25,0,15.59,16.48,1,1.03,1.48,0.03,121.31,0,1,0,0,1,378.25,602.75,378.25,1,378.25,378.25,0,Marketed Lead
62863444,0,-80.15,43.05,37.1,0,0,0,0,0,0,0,0,2,0.65,1.12,-1.35,80.15,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
62865995,0.2765,397.17,298.13,298.67,0,442.53,1575.5,0,1575.5,0,0,0,2,5.23,7.73,3.23,1039.33,0,1,0,0,1,1575.5,2281.9,1436.5,0,0,0,442.53,Marketed Lead
62874072,0.4355,1117.58,219.95,91.38,256.5,83,2566.15,797.74,2566.15,44.32,3.56,8.57,7.5,4.42,5.23,-3.08,1448.57,0,1,0,0,1,2566.15,3333,2566.15,2,2566.15,2566.15,1137.24,Marketed Lead
62896611,0,-70.98,41.49,29.49,0,0,0,0,0,0,0,0,2,0.52,1.08,-1.48,70.98,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
62919364,0.364,119.48,101.57,91.31,15.88,0,378.24,0,328.24,2.25,12.92,14.38,1,1.6,2.42,0.6,208.76,0,1,0,0,1,328.24,602.74,328.24,3,706.48,328.24,15.88,Marketed Lead
62990024,0.6942,314.49,77.75,28.97,31.84,0,453.05,0,453.05,7.03,6.39,17.16,1,1.4,1.85,0.4,138.56,0,1,0,0,1,453.05,725.15,453.05,3,453.05,453.05,31.84,Marketed Lead
62999620,0,-149.05,75.81,73.24,0,0,0,0,0,0,0,0,2,1.28,1.97,-0.72,149.05,0,0,0,1,0,0,0,0,0,0,0,0,Marketed Lead
63015246,0,-103.79,57.18,46.61,0,0,0,0,0,0,0,0,0,0.82,1.48,0.82,103.79,0,1,0,0,0,0,99,0,0,0,0,0,Marketed Lead
63724252,0,-233.01,145.2,87.81,0,0,0,0,0,0,0,0,0,3.68,3.98,3.68,233.01,0,0,0,0,0,0,0,0,0,0,0,0,Marketed Lead
63749188,0,-51.58,32.56,19.02,0,0,0,0,0,0,0,0,2,0.33,0.85,-1.67,51.58,0,0,0,1,0,0,0,0,0,0,0,0,Marketed Lead
63749581,0.7509,204.9,0,67.95,0,0,272.85,0,272.85,0,0,0,0.5,1.15,2.6,0.65,67.95,0,1,0,0,1,272.85,431.91,272.85,2,0,0,0,Marketed Lead
63754354,0,-54.17,31.52,22.65,0,0,0,0,0,0,0,0,2,0.38,0.75,-1.62,54.17,0,0,0,1,0,0,0,0,1,0,0,0,Marketed Lead
63755483,-0.269,-32.28,91.41,60.87,0,0,120,0,120,0,50.73,76.18,0.25,1.07,1.7,0.82,152.28,0,1,0,0,0,120,161,120,2,120,120,0,Marketed Lead
64460030,0.475,220.87,114.18,119.85,10.1,0,465,0,465,2.17,25.77,24.55,0.75,2.1,2.72,1.35,244.13,0,1,0,0,1,465,628.66,465,1,465,465,10.1,Marketed Lead
64465803,-0.8283,-553.53,381.73,543.12,0,296.93,718.25,0,668.25,41.34,75.62,53.15,2,9.52,9.22,6.27,1221.78,0,1,0,0,1,668.25,1144.95,668.25,2,718.25,718.25,296.93,Marketed Lead
64470724,0.469,100.36,58.47,55.17,0,0,214,0,214,0,0,0,0.25,0.97,1.47,0.72,113.64,0,1,0,0,1,214,322.01,214,1,0,0,0,Marketed Lead
64472696,0,-105.16,49.04,56.12,0,0,0,0,0,0,0,0,2,0.98,1.17,-1.02,105.16,0,0,0,1,0,0,0,0,0,0,0,0,Marketed Lead
64488438,0,-52.2,0,52.2,0,0,0,0,0,0,0,0,2,0.88,1.95,-1.12,52.2,0,1,0,0,0,0,0,0,1,0,0,0,Marketed Lead
64490269,0,-26.21,22.42,3.79,0,0,0,0,0,0,0,0,2,0.18,0.53,-1.82,26.21,0,0,1,0,0,0,0,0,1,0,0,0,Marketed Lead
64494588,0.3755,52.67,60,27.58,0,0,140.25,0,140.25,0,19.67,42.78,0.25,0.48,1.57,0.23,87.58,0,1,0,0,0,140.25,223.01,140.25,2,140.25,140.25,0,Marketed Lead
64494658,0.4531,209.88,118.39,127.46,7.52,0,563.25,0,563.25,1.34,22.63,21.02,1,2.23,2.82,1.23,253.37,0,1,0,0,1,563.25,737.3,463.25,2,563.25,563.25,7.52,Marketed Lead
64513669,0.7066,363.39,52.53,62.78,35.6,0,564.3,0,514.3,0,0,0,2,1.1,1.25,-0.9,150.91,0,1,0,0,1,514.3,878.84,514.3,0,0,0,35.6,Marketed Lead
63041875,0.3476,138.85,127.49,133.16,0,0,499.5,0,499.5,0,26.66,25.52,1,2.33,3.03,1.33,260.65,0,1,0,0,1,499.5,636.39,399.5,2,499.5,499.5,0,Marketed Lead
63046605,0.6559,340.02,72.85,78.95,26.58,0,518.4,0,518.4,1.67,4.96,4.58,1.75,1.38,1.73,-0.37,178.38,0,1,0,0,1,518.4,801.18,518.4,3,1590.15,518.4,26.58,Marketed Lead
63139300,0,-114.51,63.2,47.32,3.99,0,139,0,139,2.87,34.04,45.47,0,0.93,1.65,0.93,114.51,0,0,0,0,0,139,0,0,5,139,139,3.99,Marketed Lead
63169884,0.0216,9.48,177.46,210.21,41.6,0,488.75,0,438.75,0,0,0,0.75,3.68,4.63,2.93,429.27,0,1,0,0,1,438.75,776.66,438.75,3,0,0,41.6,Marketed Lead
63172817,0,-432.03,198.24,210.21,-1420.38,0,0,1443.96,0,0,0,0,7,3.68,4.72,-3.32,432.03,0,1,0,0,0,0,0,0,0,0,0,23.58,Marketed Lead
21-0165405,0.7546,267.12,60.4,26.06,0.42,0,354,0,354,0.12,7.36,17.06,1,1.25,1.57,0.25,86.88,0,1,0,0,1,354,464.33,354,1,354,354,0.42,Marketed Lead
63755790,-0.361,-86.29,141.71,183.58,0,0,289,0,239,0,76.81,59.29,0.5,3.22,3.7,2.72,325.29,0,1,0,0,1,239,421,239,3,239,239,0,Marketed Lead
63756140,0.0545,6.48,96.6,15.92,0,0,169,0,119,0,4.43,26.91,0.25,2.32,2.68,2.07,112.52,0,1,0,0,1,119,260,119,3,359,119,0,Marketed Lead
63757380,0.5064,214.15,0,205.83,2.89,0,621.87,0,621.87,0.68,48.67,0,3,3.48,4.22,0.48,208.72,0,1,0,0,1,621.87,673.37,422.87,3,422.87,422.87,2.89,Marketed Lead
63774281,0.4315,379.3,149.37,156.94,0,193.39,879,0,879,22,17.85,16.99,2.25,2.75,3.9,0.5,499.7,0,1,0,0,1,879,1394.3,879,2,879,879,193.39,Marketed Lead
63793426,0.7476,1152.15,0,40.38,22.54,325.98,1541.05,0,1541.05,22.62,2.62,0,2.75,0.68,1.52,-2.07,388.9,0,1,0,0,1,1541.05,2450.4,1541.05,1,1541.05,1541.05,348.52,Marketed Lead
63176786,0.5387,794.65,257.09,336.71,86.55,0,1475,0,1475,5.87,22.83,17.43,3.5,5.9,6.12,2.4,680.35,0,1,0,0,1,1475,2003.54,1475,5,1475,1475,86.55,Marketed Lead
63177554,0,-468.18,273.21,193.09,1.89,0,0,0,0,0,0,0,4,3.38,3.58,-0.62,468.18,0,1,0,0,0,0,0,0,1,0,0,1.89,Marketed Lead
63190476,-0.1442,-17.3,66.55,68.48,0,2.27,120,0,120,1.89,57.07,55.46,0.25,1.2,1.58,0.95,137.3,0,1,0,0,0,120,161,120,4,120,120,2.27,Marketed Lead
63239769,0,-94.38,52.34,38.05,3.99,0,0,0,0,0,0,0,2,0.67,1.37,-1.33,94.38,0,0,1,0,0,0,0,0,1,0,0,3.99,Marketed Lead
63247196,0.123,14.76,70.05,35.19,0,0,120,0,120,0,29.33,58.38,0.25,0.62,1.67,0.37,105.24,0,1,0,0,0,120,161,120,4,120,120,0,Marketed Lead
